# Parte 3 - Lineas 14901 a 24900
# Total en esta parte: 10000 strings
# Formato: ID|ADDRESS|TEXT
#
14900|0x001713E0|The stars themselves were still visible to some extent.
14901|0x00171422|The stars themselves were still~visible to some extent.
14902|0x00171469|I could still see some of them, but the starlight was faint.
14903|0x001714B0|I could still see some of them,~but the starlight was faint.
14904|0x00171506|You look bummed out.
14905|0x00171525|You look bummed out.
14906|0x0017156C|Just like the stars, Mare's figure also seemed somewhat faint.
14907|0x001715B5|Just like the stars, Mare's~figure also seemed somewhat~faint.
14908|0x00171618|Are you not feeling well?
14909|0x0017163C|Are you not feeling well?
14910|0x0017166F|No, I'm fine.
14911|0x00171687|No, I'm fine.
14912|0x001716AE|Then what is it?
14913|0x001716C9|Then what is it?
14914|0x001716F3|Dunno.
14915|0x00171704|Dunno.
14916|0x0017172F|You're really out of it today.
14917|0x00171758|You're really out of it today.
14918|0x00171790|Maybe so.
14919|0x001717A4|Maybe so.
14920|0x001717BD|Not even a day ago, I was so eager to ask Mare all the questions that~were on my mind, yet here I was, listless and lifeless.
14921|0x00171845|Not even a day ago, I was so~eager to ask Mare all the~questions that were on my mind,~yet here I was, listless and
14922|0x001718FB|Did something happen?
14923|0x0017191B|Did something happen?
14924|0x0017194A|Kinda, yeah.
14925|0x00171961|Kinda, yeah.
14926|0x00171987|Is it my fault?
14927|0x001719A1|Is it my fault?
14928|0x001719CA|No.
14929|0x001719D8|No.
14930|0x001719F5|Because I stabbed you with my scythe?
14931|0x00171A25|Because I stabbed you with my~scythe?
14932|0x00171A64|No.
14933|0x00171A72|No.
14934|0x00171A9A|Because I reaped your nightmare?
14935|0x00171AC5|Because I reaped your~nightmare?
14936|0x00171AFF|No.
14937|0x00171B0D|No.
14938|0x00171B2A|Are you holding a grudge against me?
14939|0x00171B59|Are you holding a grudge~against me?
14940|0x00171B97|Maybe I am, but I dunno, maybe I'm not.
14941|0x00171BC9|Maybe I am, but I dunno, maybe~I'm not.
14942|0x00171C0A|Which one is it?
14943|0x00171C25|Which one is it?
14944|0x00171C4F|It's both.
14945|0x00171C64|It's both.
14946|0x00171C93|...What do you mean?
14947|0x00171CB2|...What do you mean?
14948|0x00171CE0|See, there's this person that I really care about.
14949|0x00171D1D|See, there's this person that I~really care about.
14950|0x00171D69|......
14951|0x00171D7A|......
14952|0x00171D9A|It's not like I was in love with her or anything. I've never been in~love before.
14953|0x00171DF6|It's not like I was in love~with her or anything. I've~never been in love before.
14954|0x00171E61|But for me, that girl was someone that nobody could ever replace.
14955|0x00171EAD|But for me, that girl was~someone that nobody could ever~replace.
14956|0x00171F08|And now it seems she might be lost to me forever.
14957|0x00171F44|And now it seems she might be~lost to me forever.
14958|0x00171F85|For a moment, silence filled the air.
14959|0x00171FB5|For a moment, silence filled~the air.
14960|0x00171FFF|Oh.
14961|0x0017200D|Oh.
14962|0x0017202A|Yeah.
14963|0x0017203A|Yeah.
14964|0x00172064|And that's why you're so sad?
14965|0x0017208C|And that's why you're so sad?
14966|0x001720C3|Yeah.
14967|0x001720D3|Yeah.
14968|0x001720F2|So is that why...
14969|0x0017210E|So is that why...
14970|0x00172155|You suffer so much from the nightmare?
14971|0x00172186|You suffer so much from the~nightmare?
14972|0x001721DB|I think that's what she said.
14973|0x00172203|I think that's what she said.
14974|0x00172230|However, Mare had disappeared.
14975|0x00172259|However, Mare had disappeared.
14976|0x00172287|Even though the clouds still hadn't completely blocked out the faint~starlight.
14977|0x001722E1|Even though the clouds still~hadn't completely blocked out~the faint starlight.
14978|0x00172340|Maybe it was because of the footsteps.
14979|0x00172371|Maybe it was because of the~footsteps.
14980|0x001723D2|Whoa...
14981|0x001723E4|Whoa...
14982|0x001723FB|I turn around to find Asuho standing there, even though we parted ways~earlier.
14983|0x00172455|I turn around to find Asuho~standing there, even though we~parted ways earlier.
14984|0x001724C0|You can see the stars so well from here!
14985|0x001724F3|You can see the stars so well~from here!
14986|0x00172564|Literally moments ago, the night sky was veiled in clouds.
14987|0x001725A9|Literally moments ago, the~night sky was veiled in clouds.
14988|0x001725F3|Yet the next thing I knew, that veil had been lifted, and the stars~began to show off their true brilliance.
14989|0x0017266A|Yet the next thing I knew, that~veil had been lifted, and the~stars began to show off their~true brilliance.
14990|0x001726F2|It feels like I could reach out and grab them.
14991|0x0017272B|It feels like I could reach out~and grab them.
14992|0x00172775|It's like I could dive right into the Milky Way.
14993|0x001727B0|It's like I could dive right~into the Milky Way.
14994|0x00172807|Just looking at it feels like I'm drowning in the stars.
14995|0x0017284A|Just looking at it feels like~I'm drowning in the stars.
14996|0x00172892|The lookout of my memories, where we'd believed we would one day be~able to seize those stars with our own hands...
14997|0x00172910|The lookout of my memories,~where we'd believed we would~one day be able to seize those~stars with our own hands...
14998|0x0017299F|I never knew there was such an amazing place here in Hibarigasaki...
14999|0x001729EE|I never knew there was such an~amazing place here in~Hibarigasaki...
15000|0x00172A42|Asuho was filled with awe as she spread her arms out to the sky.
15001|0x00172A8D|Asuho was filled with awe as~she spread her arms out to the~sky.
15002|0x00172ADD|It looked to me like she was preparing to catch a shooting star with~her bare hands.
15003|0x00172B3C|It looked to me like she was~preparing to catch a shooting~star with her bare hands.
15004|0x00172BAA|Why are you...
15005|0x00172BC3|Why are you...
15006|0x00172BED|Well, that's because you went up the hill even though I was sure you'd~go home.
15007|0x00172C47|Well, that's because you went~up the hill even though I was~sure you'd go home.
15008|0x00172CB2|So I followed you.
15009|0x00172CCF|So I followed you.
15010|0x00172CF1|Even though I was the only one around for her to be talking to, it~almost felt like she was talking to the stars behind me.
15011|0x00172D77|Even though I was the only one~around for her to be talking~to, it almost felt like she was~talking to the stars behind me.
15012|0x00172E37|Wanna know something neat, You-chan?
15013|0x00172E66|Wanna know something neat,~You-chan?
15014|0x00172EA6|It's a lot more difficult than you'd imagine to find a place that~gives you a clear, unobstructed view of the stars.
15015|0x00172F25|It's a lot more difficult than~you'd imagine to find a place~that gives you a clear,~unobstructed view of the stars.
15016|0x00172FB5|In big cities, you've got a lot of artificial light that makes it hard~to see the night sky. Compared to those, there's no doubt Hibarigasaki~gives you a better view.
15017|0x00173066|In big cities, you've got a lot~of artificial light that makes~it hard to see the night sky.~Compared to those, there's no
15018|0x001730FC|But even a place like Hibarigasaki has its fair share of artificial~light. Plus, light pollution isn't the only thing that can get in the~way.
15019|0x00173195|But even a place like~Hibarigasaki has its fair share~of artificial light. Plus,~light pollution isn't the only
15020|0x00173220|If there's a large concentration of water nearby, like a lake for~instance, you'll have mists and fogs that also obstruct starlight,~which is just as problematic.
15021|0x001732CD|If there's a large~concentration of water nearby,~like a lake for instance,~you'll have mists and fogs that
15022|0x0017335F|So when you stop and think about it, this place really is~one-of-a-kind.
15023|0x001733B2|So when you stop and think~about it, this place really is~one-of-a-kind.
15024|0x00173440|There's absolutely nothing to block your view from here. You can see~straight from horizon to horizon!
15025|0x001734B1|There's absolutely nothing to~block your view from here. You~can see straight from horizon~to horizon!
15026|0x00173533|And it's completely filled with stars, too. More than you could ever~count!
15027|0x00173589|And it's completely filled with~stars, too. More than you could~ever count!
15028|0x001735E4|Asuho's voice resonated through the clear night air.
15029|0x00173623|Asuho's voice resonated through~the clear night air.
15030|0x0017367E|I love this place!
15031|0x0017369B|I love this place!
15032|0x001736BD|High up in the eastern sky, the magnificent Summer Triangle slowly~traced its course through the sky.
15033|0x0017372D|High up in the eastern sky, the~magnificent Summer Triangle~slowly traced its course~through the sky.
15034|0x001737A2|The Northern Cross, consisting of the brightest stars in Cygnus, swam~through the Milky Way, dividing it in two.
15035|0x0017381D|The Northern Cross, consisting~of the brightest stars in~Cygnus, swam through the Milky~Way, dividing it in two.
15036|0x0017389D|And, of course, there is no forgetting Scorpio as it peeks out from~the southern horizon, revealing the first magnitude star famous for~its red color, Antares.
15037|0x00173947|And, of course, there is no~forgetting Scorpio as it peeks~out from the southern horizon,~revealing the first magnitude
15038|0x00173A06|If you know me, you know I love the stars!
15039|0x00173A3B|If you know me, you know I love~the stars!
15040|0x00173A75|The curving, deep black silhouette of the harbor. The town's lights~reflected on the surface of the waterway. The dazzling beauty of the~stars that fill out the sky's canvas.
15041|0x00173B2E|The curving, deep black~silhouette of the harbor. The~town's lights reflected on the~surface of the waterway. The
15042|0x00173BAF|It made me want to boast about this place to her: What do you think,~Asuho? This place is so fantastic, it's like you're in a dream!
15043|0x00173C3E|It made me want to boast about~this place to her: What do you~think, Asuho? This place is so~fantastic, it's like you're in
15044|0x00173CFF|I wish I'd brought my binoculars with me...
15045|0x00173D35|I wish I'd brought my~binoculars with me...
15046|0x00173D7A|Not your telescope?
15047|0x00173D98|Not your telescope?
15048|0x00173DD2|I keep the telescope in our club room. Besides, I think I've told you~before, but telescopes are actually pretty heavy.
15049|0x00173E54|I keep the telescope in our~club room. Besides, I think~I've told you before, but~telescopes are actually pretty
15050|0x00173EE0|So, I usually go with my binoculars when I do stargazing outside.~Along with a tripod to keep them still.
15051|0x00173F54|So, I usually go with my~binoculars when I do stargazing~outside. Along with a tripod to~keep them still.
15052|0x00173FD9|Apart from those, there's my star map, a flashlight, and a compass.~Plus I like to have a towel and something to drink at this time of~year...
15053|0x00174072|Apart from those, there's my~star map, a flashlight, and a~compass. Plus I like to have a~towel and something to drink at
15054|0x001740FB|Asuho gave a hearty laugh.
15055|0x00174120|Asuho gave a hearty laugh.
15056|0x00174156|But you know what? Who even cares.
15057|0x00174183|But you know what? Who even~cares.
15058|0x001741C1|I don't need any of those tonight.
15059|0x001741EE|I don't need any of those~tonight.
15060|0x00174237|They say there are over 8,000 stars in our universe that you can see~with the naked eye.
15061|0x0017429A|They say there are over 8,000~stars in our universe that you~can see with the naked eye.
15062|0x0017430E|Just under half of them, 3,500, can be seen at any given time.
15063|0x00174357|Just under half of them, 3,500,~can be seen at any given time.
15064|0x001743B1|I'm willing to bet that I'm looking at all 3,500 of those right now.
15065|0x00174400|I'm willing to bet that I'm~looking at all 3,500 of those~right now.
15066|0x00174454|Asuho's great big eyes were filled with the sight of innumerable~starry lights.
15067|0x001744AE|Asuho's great big eyes were~filled with the sight of~innumerable starry lights.
15068|0x00174519|Now I can believe what you said before.
15069|0x0017454B|Now I can believe what you said~before.
15070|0x00174599|Even if you were only looking with the naked eye, this still counts as~stargazing.
15071|0x001745F6|Even if you were only looking~with the naked eye, this still~counts as stargazing.
15072|0x00174664|And I can also believe how special that girl must have been to you.
15073|0x001746B2|And I can also believe how~special that girl must have~been to you.
15074|0x0017470F|Really?
15075|0x00174721|Really?
15076|0x0017474F|Yeah.
15077|0x0017475F|Yeah.
15078|0x001747A9|Hey, Asuho.
15079|0x001747BF|Hey, Asuho.
15080|0x00174810|Yeah?
15081|0x00174820|Yeah?
15082|0x0017483F|I think I'm gonna join the Astro Club.
15083|0x00174870|I think I'm gonna join the~Astro Club.
15084|0x001748C0|You are?
15085|0x001748D3|You are?
15086|0x001748F5|Yeah.
15087|0x00174905|Yeah.
15088|0x00174934|Because you're waiting for the girl from the lookout?
15089|0x00174974|Because you're waiting for the~girl from the lookout?
15090|0x001749C3|Yeah.
15091|0x001749D3|Yeah.
