# Parte 9 - Líneas 74901 a 84900
# Total en esta parte: 10000 strings
# Formato: ID|ADDRESS|TEXT
#
74900|0x005D6CF0|...Yeah, she did. So you also knew about it?
74901|0x005D6D27|...Yeah, she did. So you also~knew about it?
74902|0x005D6D6F|About what?
74903|0x005D6D85|About what?
74904|0x005D6DAA|That her nightmares are a reflection of something that actually~happened at the lookout.
74905|0x005D6E0D|That her nightmares are a~reflection of something that~actually happened at the~lookout.
74906|0x005D6E8F|It's not polite to pry.
74907|0x005D6EB1|It's not polite to pry.
74908|0x005D6EE2|...Um, I'd like you to tell me if you know something.
74909|0x005D6F22|...Um, I'd like you to tell me~if you know something.
74910|0x005D6F81|I'll repeat myself. It's not polite to pry. If you still want to~nonetheless, you ought to postpone it until you have a deeper~relationship with the person in question.
74911|0x005D7034|I'll repeat myself. It's not~polite to pry. If you still~want to nonetheless, you ought~to postpone it until you have a
74912|0x005D70C5|Kosame-san, please go out with me.
74913|0x005D70F2|Kosame-san, please go out with~me.
74914|0x005D715E|Take that!
74915|0x005D7173|Take that!
74916|0x005D71BD|She chopped my head.
74917|0x005D71DC|She chopped my head.
74918|0x005D723C|Are you sure I'm the right person to be saying that to?
74919|0x005D727E|Are you sure I'm the right~person to be saying that to?
74920|0x005D72CF|...It's not like I have anyone to say it to.
74921|0x005D7306|...It's not like I have anyone~to say it to.
74922|0x005D735C|It doesn't necessarily need to be me that you have to get closer to.
74923|0x005D73AB|It doesn't necessarily need to~be me that you have to get~closer to.
74924|0x005D7409|You'd tell me even if I got in a relationship with someone else?
74925|0x005D7454|You'd tell me even if I got in~a relationship with someone~else?
74926|0x005D74BE|Of course it's not a case of just anyone goes.
74927|0x005D74F7|Of course it's not a case of~just anyone goes.
74928|0x005D753F|And who would that be?
74929|0x005D7560|And who would that be?
74930|0x005D75C0|Take that!
74931|0x005D75D5|Take that!
74932|0x005D7629|...Why the chop?
74933|0x005D7644|...Why the chop?
74934|0x005D76A0|Because you're asking me despite knowing the answer full-well~yourself.
74935|0x005D76F2|Because you're asking me~despite knowing the answer~full-well yourself.
74936|0x005D7749|The smile she showed when she said that looked particularly wicked.
74937|0x005D7797|The smile she showed when she~said that looked particularly~wicked.
74938|0x005D77F4|Kosame-san, are you hiding something regarding Hisakaki's nightmares?
74939|0x005D7844|Kosame-san, are you hiding~something regarding Hisakaki's~nightmares?
74940|0x005D78A5|Why do you think that?
74941|0x005D78C6|Why do you think that?
74942|0x005D78F6|Well, you were the one who told me an accident once happened at the~lookout, and that's why the fence was erected there.
74943|0x005D7979|Well, you were the one who told~me an accident once happened at~the lookout, and that's why the~fence was erected there.
74944|0x005D7A1B|......
74945|0x005D7A2C|......
74946|0x005D7A4C|Could you please tell me if you know anything?
74947|0x005D7A85|Could you please tell me if you~know anything?
74948|0x005D7ADD|...It's not polite to pr─
74949|0x005D7B02|...It's not polite to pr─
74950|0x005D7B36|It's not polite, so you're gonna hide it from me?
74951|0x005D7B72|It's not polite, so you're~gonna hide it from me?
74952|0x005D7BCD|Please understand, it's not something I hide out of my own desire to.~It's something that, even if I do tell you, as you are right now, you~won't be able to comprehend it.
74953|0x005D7C83|Please understand, it's not~something I hide out of my own~desire to. It's something that,~even if I do tell you, as you
74954|0x005D7D15|Am I that unreliable?
74955|0x005D7D35|Am I that unreliable?
74956|0x005D7D66|If Nee-san asks me about that, then I might answer her even though I~don't want to.
74957|0x005D7DC4|If Nee-san asks me about that,~then I might answer her even~though I don't want to.
74958|0x005D7E31|...Then I guess I can only ask her to handle it.
74959|0x005D7E6C|...Then I guess I can only ask~her to handle it.
74960|0x005D7EC6|However, I don't think Nee-san will ever ask me anything.
74961|0x005D7F0A|However, I don't think Nee-san~will ever ask me anything.
74962|0x005D7F53|Kosame-san had a solemn look on her face as she said that.
74963|0x005D7F98|Kosame-san had a solemn look on~her face as she said that.
74964|0x005D7FEE|Since we're twins, I suppose Nee-san and I understand each other~better than normal sisters.
74965|0x005D8055|Since we're twins, I suppose~Nee-san and I understand each~other better than normal~sisters.
74966|0x005D80CD|Whenever she tells someone she's asked me something and I don't~answer, that means that she hasn't asked me anything in the first~place.
74967|0x005D8160|Whenever she tells someone~she's asked me something and I~don't answer, that means that~she hasn't asked me anything in
74968|0x005D81F3|When Nee-san merely means to ask me something, I just so happen to~surmise what it's about.
74969|0x005D8259|When Nee-san merely means to~ask me something, I just so~happen to surmise what it's~about.
74970|0x005D82DE|And if I show the slightest indication that it's something hard for me~to answer, Nee-san backs down before asking it.
74971|0x005D835F|And if I show the slightest~indication that it's something~hard for me to answer, Nee-san~backs down before asking it.
74972|0x005D83F1|She judges for herself that it'd be painful for me if she asked, and~then ceases to pursue it any further...
74973|0x005D8468|She judges for herself that~it'd be painful for me if she~asked, and then ceases to~pursue it any further...
74974|0x005D84F0|Nee-san is terribly kind to me, to a cruel extent...
74975|0x005D852F|Nee-san is terribly kind to me,~to a cruel extent...
74976|0x005D857F|So, I think the only option is for me to breach these topics.
74977|0x005D85C7|So, I think the only option is~for me to breach these topics.
74978|0x005D865C|Did you really think I wouldn't notice?
74979|0x005D868E|Did you really think I wouldn't~notice?
74980|0x005D86D1|I thought I told you that you can't keep things from your older twin~sister?
74981|0x005D8728|I thought I told you that you~can't keep things from your~older twin sister?
74982|0x005D8790|What's bothering you?
74983|0x005D87B0|What's bothering you?
74984|0x005D87E1|What's tormenting you?
74985|0x005D8802|What's tormenting you?
74986|0x005D8834|All I'm asking for is for you to tell me.
74987|0x005D8868|All I'm asking for is for you~to tell me.
74988|0x005D88AD|It doesn't have to be right now.
74989|0x005D88D8|It doesn't have to be right~now.
74990|0x005D8914|But promise me you will eventually tell me.
74991|0x005D894A|But promise me you will~eventually tell me.
74992|0x005D89E2|So, if you want to get information out of me, there is only one way.
74993|0x005D8A31|So, if you want to get~information out of me, there is~only one way.
74994|0x005D8A91|If the person you enter into a relationship with is someone I deeply~care for as well, that would also bring the two of us closer...
74995|0x005D8B20|If the person you enter into a~relationship with is someone I~deeply care for as well, that~would also bring the two of us
74996|0x005D8BC4|And, I think, I might end up telling you things that are hard to talk~about then, too.
74997|0x005D8C25|And, I think, I might end up~telling you things that are~hard to talk about then, too.
74998|0x005D8C95|......
74999|0x005D8CA6|......
75000|0x005D8CD6|What's your answer?
75001|0x005D8CF4|What's your answer?
75002|0x005D8D21|...Well, that isn't something only I get to decide.
75003|0x005D8D5F|...Well, that isn't something~only I get to decide.
75004|0x005D8DBC|I think it quite is.
75005|0x005D8DDB|I think it quite is.
75006|0x005D8E09|When it comes to romantic relationships, the feelings of both parties~matter, no?
75007|0x005D8E65|When it comes to romantic~relationships, the feelings of~both parties matter, no?
75008|0x005D8ED2|Which is exactly why I said that it depends on you.
75009|0x005D8F10|Which is exactly why I said~that it depends on you.
75010|0x005D8F59|Kosame-san put up her index finger and declared, triumphantly so.
75011|0x005D8FA5|Kosame-san put up her index~finger and declared,~triumphantly so.
75012|0x005D9002|The odds are in your favor.
75013|0x005D9028|The odds are in your favor.
75014|0x005D906D|It's her younger twin sister saying so, so there's no doubt about it.
75015|0x005D90BD|It's her younger twin sister~saying so, so there's no doubt~about it.
75016|0x005D915C|After school, we went over what we learned about Hisakaki's meteorite~from Mayaka-san yesterday.
75017|0x005D91C7|After school, we went over what~we learned about Hisakaki's~meteorite from Mayaka-san~yesterday.
75018|0x005D9270|At lunch break, Asuho had already gotten to the fairy tales that she~loved most.
75019|0x005D92CB|At lunch break, Asuho had~already gotten to the fairy~tales that she loved most.
75020|0x005D9368|I imagine the meteorite from fifty-six years ago must have looked like~a shooting star to Hibarigasaki's townspeople.
75021|0x005D93E8|I imagine the meteorite from~fifty-six years ago must have~looked like a shooting star to~Hibarigasaki's townspeople.
75022|0x005D9477|Yeah, I bet some people probably even made wishes.
75023|0x005D94B4|Yeah, I bet some people~probably even made wishes.
75024|0x005D952B|Though they might not have had the time to do so. I would think they~were all really surprised because of how bright it was.
75025|0x005D95B2|Though they might not have had~the time to do so. I would~think they were all really~surprised because of how bright
75026|0x005D967E|It was a fireball, after all.
75027|0x005D96A6|It was a fireball, after all.
75028|0x005D9707|...A ball of fire?
75029|0x005D9724|...A ball of fire?
75030|0x005D9760|Ah, no. Fireball is just a term they use to describe meteors that are~a lot brighter than usual.
75031|0x005D97CB|Ah, no. Fireball is just a term~they use to describe meteors~that are a lot brighter than~usual.
75032|0x005D9881|These shooting stars and fireballs we talk about are tiny pieces of~debris that travel in our solar system.
75033|0x005D98F7|These shooting stars and~fireballs we talk about are~tiny pieces of debris that~travel in our solar system.
75034|0x005D997E|They plunge into our atmosphere at extremely high velocities around~dozens of kilometers per second, and flare up through the extreme~friction they sustain.
75035|0x005D9A25|They plunge into our atmosphere~at extremely high velocities~around dozens of kilometers per~second, and flare up through
75036|0x005D9AC8|Shooting stars shine until an altitude of around 100 kilometers from~Earth, while fireballs still shine an extra fifty kilometers beyond~that.
75037|0x005D9B61|Shooting stars shine until an~altitude of around 100~kilometers from Earth, while~fireballs still shine an extra
75038|0x005D9BFB|Normally, they disintegrate entirely while still in the atmosphere,~but sometimes you get ones that reach the ground before fully~disintegrating.
75039|0x005D9C97|Normally, they disintegrate~entirely while still in the~atmosphere, but sometimes you~get ones that reach the ground
75040|0x005D9D35|Those are what we call meteorites.
75041|0x005D9D62|Those are what we call~meteorites.
75042|0x005D9D9E|Oh, I see. So that means meteorites are originally pieces of space~debris.
75043|0x005D9DF3|Oh, I see. So that means~meteorites are originally~pieces of space debris.
75044|0x005D9E82|So where do those pieces of debris originate from?
75045|0x005D9EBF|So where do those pieces of~debris originate from?
75046|0x005D9F40|You can think of normal shootings stars as kinda like debris left~behind by something like Halley's comet.
75047|0x005D9FB5|You can think of normal~shootings stars as kinda like~debris left behind by something~like Halley's comet.
75048|0x005DA049|Bigger ones like fireballs and meteorites are thought to originate~from the asteroids that orbit near Jupiter and Mars in the asteroid~belt. I guess you could think of 'em like fragments or pieces from~those.
75049|0x005DA124|Bigger ones like fireballs and~meteorites are thought to~originate from the asteroids~that orbit near Jupiter and
75050|0x005DA1EB|They say there might also be meteorites that originate from stars far~outside our own solar system.
75051|0x005DA259|They say there might also be~meteorites that originate from~stars far outside our own solar~system.
75052|0x005DA301|That certainly captures your imagination.
75053|0x005DA335|That certainly captures your~imagination.
75054|0x005DA3B6|Totally. I mean, meteorites are the only things from space except~rocks from the moon that we can touch with our own hands.
75055|0x005DA43C|Totally. I mean, meteorites are~the only things from space~except rocks from the moon that~we can touch with our own
75056|0x005DA4C0|While we can see the stars by gazing through a telescope, we can't~touch them.
75057|0x005DA519|While we can see the stars by~gazing through a telescope, we~can't touch them.
75058|0x005DA591|It's the sole way we have to communicate with the stars.
75059|0x005DA5D4|It's the sole way we have to~communicate with the stars.
75060|0x005DA651|...Like messages from the August Star of Heaven?
75061|0x005DA68C|...Like messages from the~August Star of Heaven?
75062|0x005DA6E6|That's the idea!
75063|0x005DA701|That's the idea!
75064|0x005DA73B|Like curses from a vile god?
75065|0x005DA762|Like curses from a vile god?
75066|0x005DA7BF|Come on, Aoi-san! Get away from that evil version already!
75067|0x005DA804|Come on, Aoi-san! Get away from~that evil version already!
75068|0x005DA868|I want to go with that version all the way.
75069|0x005DA89E|I want to go with that version~all the way.
75070|0x005DA8E3|At any rate, what she means is that meteorites give us clues that let~us learn more about celestial bodies.
75071|0x005DA959|At any rate, what she means is~that meteorites give us clues~that let us learn more about~celestial bodies.
75072|0x005DAA20|Though, in reality, the number of people that get to communicate with~those meteorites is terribly small.
75073|0x005DAA94|Though, in reality, the number~of people that get to~communicate with those~meteorites is terribly small.
75074|0x005DAB19|At present, the total number of meteorites that have been discovered~across Japan sits at a mere fifty.
75075|0x005DAB8B|At present, the total number of~meteorites that have been~discovered across Japan sits at~a mere fifty.
75076|0x005DAC37|I think there'd be more if you count all the ones that haven't been~found, but yeah, they're still super rare.
75077|0x005DACB0|I think there'd be more if you~count all the ones that haven't~been found, but yeah, they're~still super rare.
75078|0x005DAD48|It's said that out of all the stones that are thought to be meteorites~and get appraised, only one of every 1,000 turns out to really be one.
75079|0x005DADE0|It's said that out of all the~stones that are thought to be~meteorites and get appraised,~only one of every 1,000 turns
75080|0x005DAE67|I guess that makes the town of Hibarigasaki a pretty special place,~considering the fact that we had two meteorites come down here.
75081|0x005DAEF5|I guess that makes the town of~Hibarigasaki a pretty special~place, considering the fact~that we had two meteorites come
75082|0x005DAFB4|As explained, meteorites are already rare enough, but there's an even~rarer subset.
75083|0x005DB012|As explained, meteorites are~already rare enough, but~there's an even rarer subset.
75084|0x005DB08F|That is iron meteorites. Unlike normal meteorites that are stony,~these are meteorites that have traces of iron, too.
75085|0x005DB10F|That is iron meteorites. Unlike~normal meteorites that are~stony, these are meteorites~that have traces of iron, too.
75086|0x005DB1D4|If those are even rarer than normal meteorites, I'd guess you'd really~have to be lucky to see one of those.
75087|0x005DB24B|If those are even rarer than~normal meteorites, I'd guess~you'd really have to be lucky~to see one of those.
75088|0x005DB302|...I feel like I would like to see one at least once.
75089|0x005DB342|...I feel like I would like to~see one at least once.
75090|0x005DB3DB|A shinigami that calls itself Mare. When the intensity of~electromagnetic waves of a certain wavelength goes below a certain~threshold it becomes invisible to the human eye.
75091|0x005DB493|A shinigami that calls itself~Mare. When the intensity of~electromagnetic waves of a~certain wavelength goes below a
75092|0x005DB523|Conversely, when exposed to those electromagnetic waves at an~intensity exceeding that level, it becomes possible to visually~perceive a thing like that.
75093|0x005DB5C7|Conversely, when exposed to~those electromagnetic waves at~an intensity exceeding that~level, it becomes possible to
75094|0x005DB657|It becomes possible for us humans to treat that non-human entity like~one of our own...
75095|0x005DB6B9|It becomes possible for us~humans to treat that non-human~entity like one of our own...
75096|0x005DB72C|This naginata, this relic forged from meteoric iron, gives witness to~that fact.
75097|0x005DB787|This naginata, this relic~forged from meteoric iron,~gives witness to that fact.
75098|0x005DB845|......
75099|0x005DB856|......
75100|0x005DB86C|Probably having noticed my gaze, Kosame-san appeared slightly~uncomfortable.
75101|0x005DB8C3|Probably having noticed my~gaze, Kosame-san appeared~slightly uncomfortable.
75102|0x005DB91F|If the August Star of Heaven truly does dwell in that meteorite, then~something might be dwelling in the meteoric iron, too.
75103|0x005DB9A6|If the August Star of Heaven~truly does dwell in that~meteorite, then something might~be dwelling in the meteoric
75104|0x005DBA41|...Isn't it about time for you to get going, Kogasaka-san?
75105|0x005DBA86|...Isn't it about time for you~to get going, Kogasaka-san?
75106|0x005DBAD0|Kosame-san looked up at the wall clock and informed me.
75107|0x005DBB12|Kosame-san looked up at the~wall clock and informed me.
75108|0x005DBB59|...It was about time for the Student Council meeting.
75109|0x005DBB99|...It was about time for the~Student Council meeting.
75110|0x005DBC09|Sorry guys, I gotta get going now.
75111|0x005DBC36|Sorry guys, I gotta get going~now.
75112|0x005DBC68|I stood up.
75113|0x005DBC7E|I stood up.
75114|0x005DBC99|Hisakaki was already in the meeting. I told her that I'd come a bit~later.
75115|0x005DBCEE|Hisakaki was already in the~meeting. I told her that I'd~come a bit later.
75116|0x005DBD7B|Traitor...
75117|0x005DBD90|Traitor...
75118|0x005DBDB4|Come on, Asuho...
75119|0x005DBDD0|Come on, Asuho...
75120|0x005DBE20|I'm just messing with you. It does kinda suck, but hey, nothing we can~do about it.
75121|0x005DBE7E|I'm just messing with you. It~does kinda suck, but hey,~nothing we can do about it.
75122|0x005DBF18|...Do your best.
75123|0x005DBF33|...Do your best.
75124|0x005DBF89|For the benefit of the club, that is.
75125|0x005DBFB9|For the benefit of the club,~that is.
75126|0x005DC03C|I threw a look at Kosame-san as I left the club room, and she smiled~at me apologetically.
75127|0x005DC0A1|I threw a look at Kosame-san as~I left the club room, and she~smiled at me apologetically.
75128|0x005DC18F|So everything's proceeding nicely with the club, huh?
75129|0x005DC1CF|So everything's proceeding~nicely with the club, huh?
75130|0x005DC21E|Yeah. The fact that we were able to learn that much from Mayaka-san~plays a huge role. I really appreciate it.
75131|0x005DC297|Yeah. The fact that we were~able to learn that much from~Mayaka-san plays a huge role. I~really appreciate it.
75132|0x005DC32F|You can thank her in person when you come over next time.
75133|0x005DC373|You can thank her in person~when you come over next time.
75134|0x005DC3C6|Oh right. She said she'd let us take photos of it next.
75135|0x005DC408|Oh right. She said she'd let us~take photos of it next.
75136|0x005DC44F|After the meeting, I reported our current progress to Hisakaki, who~couldn't make it to club today because of Student Council work.
75137|0x005DC4DD|After the meeting, I reported~our current progress to~Hisakaki, who couldn't make it~to club today because of
75138|0x005DC564|You should really stop by too whenever you have your schedule free.
75139|0x005DC5B2|You should really stop by too~whenever you have your schedule~free.
75140|0x005DC61F|Well, I'll do you a favor and attend when you come to our shrine at~least.
75141|0x005DC674|Well, I'll do you a favor and~attend when you come to our~shrine at least.
75142|0x005DC6CE|At this point, it was like a daily routine for us to walk home~together around evening.
75143|0x005DC730|At this point, it was like a~daily routine for us to walk~home together around evening.
75144|0x005DC7DB|You can't stand the sunset, right?
75145|0x005DC808|You can't stand the sunset,~right?
75146|0x005DC86B|Yeah...
75147|0x005DC87D|Yeah...
75148|0x005DC8A4|Does it have to do with your nightmares?
75149|0x005DC8D7|Does it have to do with your~nightmares?
75150|0x005DC929|...Probably.
75151|0x005DC940|...Probably.
75152|0x005DC966|The fact that you can't stand the lookout might also be related to~those nightmares, huh?
75153|0x005DC9CA|The fact that you can't stand~the lookout might also be~related to those nightmares,~huh?
75154|0x005DCA4D|Yeah, chances are it is. Although today is the first time I started to~think the location in my nightmares might be the lookout.
75155|0x005DCAD8|Yeah, chances are it is.~Although today is the first~time I started to think the~location in my nightmares might
75156|0x005DCB62|Say, you start to feel bad whenever you're at the lookout, right?
75157|0x005DCBAE|Say, you start to feel bad~whenever you're at the lookout,~right?
75158|0x005DCC19|...What makes you think that?
75159|0x005DCC41|...What makes you think that?
75160|0x005DCC78|It's clear as day.
75161|0x005DCC95|It's clear as day.
75162|0x005DCCC3|......
75163|0x005DCCD4|......
75164|0x005DCD09|Do you believe there's such a thing as a sense for the spiritual?
75165|0x005DCD55|Do you believe there's such a~thing as a sense for the~spiritual?
75166|0x005DCDC0|...Where's this coming from?
75167|0x005DCDE7|...Where's this coming from?
75168|0x005DCE1D|Kosame-san once asked whether I believed in that, along with~supernatural powers.
75169|0x005DCE79|Kosame-san once asked whether I~believed in that, along with~supernatural powers.
75170|0x005DCEE4|Don't the people of Seitengu possess powers like that? What Mayaka-san~told us yesterday also suggests that.
75171|0x005DCF5B|Don't the people of Seitengu~possess powers like that? What~Mayaka-san told us yesterday~also suggests that.
75172|0x005DCFF1|...Those are just fairy tales.
75173|0x005DD01A|...Those are just fairy tales.
75174|0x005DD052|You don't necessarily need to think of them with those specific names~attached. I just mean powers that can't be explained with our current~knowledge.
75175|0x005DD0F3|You don't necessarily need to~think of them with those~specific names attached. I just~mean powers that can't be
75176|0x005DD18D|Are you trying to suggest that I subconsciously hate the lookout~because I have some sort of power?
75177|0x005DD1FB|Are you trying to suggest that~I subconsciously hate the~lookout because I have some~sort of power?
75178|0x005DD278|It would sure help to put the puzzle together.
75179|0x005DD2B1|It would sure help to put the~puzzle together.
75180|0x005DD309|So that means the lookout is a spiritual place or something.
75181|0x005DD350|So that means the lookout is a~spiritual place or something.
75182|0x005DD3A6|And consequently means that Mare's actually a ghost.
75183|0x005DD3E5|And consequently means that~Mare's actually a ghost.
75184|0x005DD443|Even if you can explain things that way, there's no way to go about~proving it.
75185|0x005DD49D|Even if you can explain things~that way, there's no way to go~about proving it.
75186|0x005DD506|It's beyond our means anyway, yeah.
75187|0x005DD534|It's beyond our means anyway,~yeah.
75188|0x005DD581|Are you also trying to say that something supernatural is responsible~for my nightmares?
75189|0x005DD5E4|Are you also trying to say that~something supernatural is~responsible for my nightmares?
75190|0x005DD656|Not at all. Personally, I'd be happier if that wasn't the case.
75191|0x005DD6A0|Not at all. Personally, I'd be~happier if that wasn't the~case.
75192|0x005DD6FB|Why?
75193|0x005DD70A|Why?
75194|0x005DD728|If the problem was beyond our means to control, then I would have no~way of rescuing you from the jaws of fate, my dear Hisakaki.
75195|0x005DD7B4|If the problem was beyond our~means to control, then I would~have no way of rescuing you~from the jaws of fate, my dear
75196|0x005DD855|......
75197|0x005DD866|......
75198|0x005DD886|Man, I thought for sure you'd yell at me for giving you another cheesy~line.
75199|0x005DD8DD|Man, I thought for sure you'd~yell at me for giving you~another cheesy line.
75200|0x005DD953|...Hmph.
75201|0x005DD966|...Hmph.
75202|0x005DD97E|Her sullen attitude was no different from usual.
75203|0x005DD9B9|Her sullen attitude was no~different from usual.
75204|0x005DDA53|...Why are you tagging along with me to the station?
75205|0x005DDA92|...Why are you tagging along~with me to the station?
75206|0x005DDAE0|A couple minutes of extra walk hardly make any difference.
75207|0x005DDB25|A couple minutes of extra walk~hardly make any difference.
75208|0x005DDB7B|I sure hope you're not gonna tell me you're taking me all the way to~my house.
75209|0x005DDBD4|I sure hope you're not gonna~tell me you're taking me all~the way to my house.
75210|0x005DDC3C|Yeah, I won't.
75211|0x005DDC55|Yeah, I won't.
75212|0x005DDC8D|......
75213|0x005DDC9E|......
